"","CNPJ_FDO","DT_COMPTC","VL_TOTAL","VL_QUOTA","PATRIM_LIQ","CAPTC_DIA","RESG_DIA","NR_COTST"
"1","3399411000190",2015-10-01,6618420370.17,8.2067651,6617314326.85,51779461.69,35912350.12,"405"
"2","10986880000170",2015-10-01,449900765.97,1.7487893,449893152.05,0,12200,"114"
"3","3256793000100",2015-10-01,3831396733.12,8.1787321,3830831567.79,6815522.12,63668093.38,"245"
"4","11046645000181",2015-10-01,2809401156.53,1.706819319,2809343424.6,31093091.11,14456549.31,"18"
"5","3543447000103",2015-10-01,1082801927.51,11.382342,1082782972.44,4379743.12,0,"184"
"6","13077418000149",2015-10-01,5837983740.84,1.543234,5837924782.03,31601266.33,11918609.05,"802"
"7","13593438000172",2015-10-01,196848393.97,151.960206,196756841.09,0,0,"5"
"8","8702798000125",2015-10-01,999399253.23,2.3620152,999384469.81,0,2857329.11,"87"
"9","7442078000105",2015-10-01,4344506652.6,3.032139126,4344412956.34,644388.98,9848110.71,"573"
"10","19303793000146",2015-10-01,308403161.32,1.232305919,308393742.5,0,0,"95"
"11","22791074000126",2015-10-01,138406599.02,0.980445,138402299.32,0,0,"17"
"12","15154441000115",2015-10-01,290693641.31,0.947965,290270759.68,0,0,"116"
"13","19768733000107",2015-10-01,405678155.26,1.01529,405661822.69,0,0,"91"
"14","10740658000193",2015-10-01,3459112177.08,1.715373,3458984411.91,0,2312407,"691"
"15","11060913000110",2015-10-01,3432926109.54,1.782958,3432797473.17,1180000,506826.15,"605"
"16","5164358000173",2015-10-01,376038928.27,2.857852,376006126.33,2021033,225522.43,"146"
"17","3737206000197",2015-10-01,4237732734.76,2.511293,4237565534.89,154457166.54,14493960.1,"697"
"18","11492176000124",2015-10-01,895373137.62,1.6703563,895422718.33,140902.21,2412722.21,"88"
"19","20139534000100",2015-10-01,133732513.47,0.957946,133726797.09,0,0,"22"
"20","14386926000171",2015-10-01,1635393520.94,1.346095,1635330910.58,1278952.31,709533.49,"382"
"21","14508643000155",2015-10-01,150172353.77,1.310019,150151706.14,13046894.11,14416354.06,"131"
"22","20216216000104",2015-10-01,93214477.02,1.1266394,93207336.76,2567772.9,0,"38"
"23","975480000106",2015-10-01,9967742569.99,20.5515465,9967635427.85,25238539.32,57632106.48,"344"
"24","19523306000150",2015-10-01,250342795.06,1.180409083,250333880.11,0,0,"33"
"25","11328882000135",2015-10-01,7826809006.64,1.763214,7826761643.25,30203052.97,18166693.92,"1153"
"26","11898349000109",2015-10-01,277608866.09,1.5576649,276461907.02,12000,37051.01,"3897"
"27","7972299000195",2015-10-01,516357099.07,1.774175,517380186.3,12103.7,150241.33,"24077"
